"yr","inst","acronimo","d1","m1","pa1","s2","tipo"
2007,"Benemerita Universidad Autonoma de Puebla","BUAP",3264,44545,170,2041.53,"Estatal"
2008,"Benemerita Universidad Autonoma de Puebla","BUAP",3141,45524,162,2069.22,"Estatal"
2009,"Benemerita Universidad Autonoma de Puebla","BUAP",3169,50088,139,2209.79,"Estatal"
2007,"Centro de Investigacion y de Estudios Avanzados del IPN","CINVESTAV",634,1844,56,1657.25,"Federal"
2008,"Centro de Investigacion y de Estudios Avanzados del IPN","CINVESTAV",544,2004,54,1754.02,"Federal"
2009,"Centro de Investigacion y de Estudios Avanzados del IPN","CINVESTAV",566,2109,54,1818.78,"Federal"
2007,"Colegio de Posgraduados","COLPOS",635,852,38,837.388,"Federal"
2008,"Colegio de Posgraduados","COLPOS",610,843,37,881.013,"Federal"
2009,"Colegio de Posgraduados","COLPOS",379,855,33,799.195,"Federal"
2007,"El Colegio de Mexico","COLMEX",177,331,18,504.647,"Federal"
2008,"El Colegio de Mexico","COLMEX",179,357,18,443.303,"Federal"
2009,"El Colegio de Mexico","COLMEX",184,369,18,455.061,"Federal"
2007,"Instituto Politecnico Nacional","IPN",8771,84816,176,9018.84,"Federal"
2008,"Instituto Politecnico Nacional","IPN",9027,87225,189,9593.43,"Federal"
2009,"Instituto Politecnico Nacional","IPN",9537,91426,198,9959.15,"Federal"
2007,"Instituto Tecnologico de Sonora","IT Sonora",1632,14735,73,220.329,"Estatal"
2008,"Instituto Tecnologico de Sonora","IT Sonora",1632,14735,73,227.793,"Estatal"
2009,"Instituto Tecnologico de Sonora","IT Sonora",1632,14807,76,242.269,"Estatal"
2007,"Universidad Autonoma Agraria Antonio Narro","UAAAN",507,4071,36,702.954,"Federal"
2008,"Universidad Autonoma Agraria Antonio Narro","UAAAN",512,4537,34,673.29,"Federal"
2009,"Universidad Autonoma Agraria Antonio Narro","UAAAN",484,4746,33,739.929,"Federal"
2007,"Universidad Autonoma Benito Juarez de Oaxaca","UABJ Oaxaca",1138,18885,41,432.702,"Estatal"
2008,"Universidad Autonoma Benito Juarez de Oaxaca","UABJ Oaxaca",1221,18698,52,451.419,"Estatal"
2009,"Universidad Autonoma Benito Juarez de Oaxaca","UABJ Oaxaca",1395,18560,49,505.264,"Estatal"
2007,"Universidad Autonoma Chapingo","UA Chapingo",686,4019,45,1730,"Federal"
2008,"Universidad Autonoma Chapingo","UA Chapingo",713,4125,44,1789.99,"Federal"
2009,"Universidad Autonoma Chapingo","UA Chapingo",732,4093,45,1899.09,"Federal"
2007,"Universidad Autonoma de Aguascalientes","UA Aguascalientes",1422,11660,100,449.535,"Estatal"
2008,"Universidad Autonoma de Aguascalientes","UA Aguascalientes",1418,11548,115,455.806,"Estatal"
2009,"Universidad Autonoma de Aguascalientes","UA Aguascalientes",1384,11674,111,473.601,"Estatal"
2007,"Universidad Autonoma de Baja California","UABC",3351,35067,159,913.368,"Estatal"
2008,"Universidad Autonoma de Baja California","UABC",3860,38004,145,910.845,"Estatal"
2009,"Universidad Autonoma de Baja California","UABC",3141,41768,151,956.367,"Estatal"
2007,"Universidad Autonoma de Baja California Sur","UABCS",382,5330,41,213.757,"Estatal"
2008,"Universidad Autonoma de Baja California Sur","UABCS",426,4890,39,215.51,"Estatal"
2009,"Universidad Autonoma de Baja California Sur","UABCS",568,4805,40,225.499,"Estatal"
2007,"Universidad Autonoma de Campeche","UA Campeche",437,5177,34,321.097,"Estatal"
2008,"Universidad Autonoma de Campeche","UA Campeche",426,5424,63,340.539,"Estatal"
