"edo_min","nombre_distrito","cve_edo","cve_dtto","cve_edo_dtto","pan","pri","prd","pvem","pt","movimiento_ciudadano","nueva_alianza","morena","encuentro_social","pan_prd_mc","pan_prd","pan_mc","prd_mc","pri_pvem_na","pri_pvem","pri_na","pvem_na","pt_morena_pes","pt_morena","pt_pes","morena_pes","cand_ind_01","cand_ind_02","cnr","vn","total_votos_calculados","lista_nominal_casilla","v_meade","v_amlo","v_anaya","v_bronco","v_nulos_bis","v_validos"
"Aguascalientes","JESUS MARIA","01","01","0101",47710,30783,3939,3027,8890,1520,3085,56027,3150,937,410,192,33,278,276,149,39,1953,697,152,561,211,9284,97,5358,178758,306488,37637,71430,54741,9284,5569,173189
"Aguascalientes","AGUASCALIENTES","01","02","0102",40125,26857,1993,1466,7406,1428,1628,62643,3540,832,198,172,38,354,271,126,39,2550,763,137,654,131,14499,99,4632,172581,304756,30741,77693,44786,14499,4763,167818
"Aguascalientes","AGUASCALIENTES","01","03","0103",74267,31143,1502,1722,7259,1455,1432,58887,2986,1326,365,236,21,464,308,124,23,2443,714,142,511,205,16490,190,4715,208930,332204,35216,72942,79172,16490,4920,204010
"Baja California","MEXICALI","02","01","0201",34027,11708,1630,1385,7559,1593,953,89679,3722,930,219,258,31,304,318,71,43,4264,1279,212,1080,56,11352,74,3770,176517,334181,14782,107795,38688,11352,3826,172691
"Baja California","MEXICALI","02","02","0202",38591,16391,1409,1126,6878,1631,831,83526,3352,1291,299,343,28,472,459,112,85,4264,1229,263,1049,155,14055,283,3352,181474,336298,19476,100561,43592,14055,3507,177967
"Baja California","ENSENADA","02","03","0203",28926,13959,2406,1155,12134,1297,923,92633,3215,937,294,212,44,351,347,100,45,4689,1960,274,1035,7,13058,171,4080,184252,330058,16880,115940,34116,13058,4087,180165
"Baja California","TIJUANA","02","04","0204",17935,8001,1417,818,9996,1218,872,114645,3191,539,153,162,23,166,190,47,44,4395,1656,211,991,21,8955,57,3089,178792,344424,10138,135085,21447,8955,3110,175682
"Baja California","TIJUANA","02","05","0205",39321,13613,1339,1008,8281,1369,760,96944,2989,1103,248,304,28,350,330,74,49,4038,1432,208,942,78,12217,269,3165,190459,355396,16184,114834,43712,12217,3243,187216
"Baja California","TIJUANA","02","06","0206",31623,14326,1411,1163,7949,1378,776,92759,3497,919,241,231,28,372,435,66,21,4111,1344,183,1081,125,10929,110,3720,178798,338791,17159,110924,35831,10929,3845,174953
"Baja California","MEXICALI","02","07","0207",26229,13284,1905,1216,8810,1656,1150,87586,3862,781,190,285,47,278,333,60,40,4096,1347,198,931,32,10181,117,3548,168162,344373,16361,106830,31093,10181,3580,164582
"Baja California","TIJUANA","02","08","0208",22045,10928,1562,999,8720,1845,665,106374,3530,740,163,232,23,207,306,43,17,4459,1462,214,1265,5,9039,166,3449,178458,348046,13165,126024,26610,9039,3454,175004
"Baja California Sur","LA PAZ","03","01","0301",29931,15505,698,1306,8183,893,2022,87605,4208,757,286,180,18,391,315,96,38,3852,1090,295,1861,211,10413,156,3998,174308,277795,19673,107094,32763,10413,4209,170099
"Baja California Sur","SAN JOSE DEL CABO","03","02","0302",21850,6120,710,1490,15913,560,456,63408,1966,512,193,120,48,159,236,41,19,2607,1767,224,767,193,6352,79,2644,128434,238351,8521,86652,23993,6352,2837,125597
"Campeche","SAN FRANCISCO DE CAMPECHE","04","01","0401",24327,49124,2354,1803,17630,1831,2206,107397,6660,527,230,564,64,2469,1349,327,36,4169,1602,233,943,168,6312,113,5616,238054,321907,57314,138634,29897,6312,5784,232270
"Campeche","CIUDAD DEL CARMEN","04","02","0402",19387,33165,2590,1146,12321,1498,1354,113375,3039,559,199,187,69,2208,1076,228,79,4727,1634,211,1158,41,4881,33,6117,211282,320149,39256,136465,24489,4881,6158,205124
"Coahuila","PIEDRAS NEGRAS","05","01","0501",36910,39954,2328,1319,11179,2548,890,69088,3250,531,220,424,58,360,523,102,36,1813,753,161,593,0,9297,89,3918,186344,316626,43184,86837,43019,9297,3918,182426
"Coahuila","SAN PEDRO","05","02","0502",31500,50412,1708,1706,9838,2898,1189,74329,3577,409,202,370,24,436,532,129,29,2174,703,142,581,173,6252,43,4076,193432,299448,54433,91344,37111,6252,4249,189183
"Coahuila","MONCLOVA","05","03","0503",39645,42325,2557,897,10944,1581,1184,78506,2561,459,147,312,33,359,377,93,22,1564,751,126,383,111,11002,118,3438,199495,313766,45257,94835,44734,11002,3549,195946
